FRS Z, FRS A, Frag Z, Frag A, Paddle 1, Paddle 2, Paddle 3, Paddle 4, Paddle 5, Paddle 6, Paddle 7, Paddle 8, Paddle 9, Paddle 10, Paddle 11, Paddle 12, Paddle 13, Paddle 14, Paddle 15, Paddle 16, Paddle 17, Paddle 18, Paddle 19, Paddle 20, Paddle 21, Paddle 22, Paddle 23, Paddle 24, Paddle 25, Paddle 26, Paddle 27, Paddle 28, total, total3, total_ratio 2sigma-3sigma
18, 45, 17, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 6, 21, 43, 29, 9, 7, 4, 1, 0, 4, 0, 0, 0, 0, 0, 130, 184, 0.706522
18, 45, 17, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 31, 47, 35, 21, 7, 1, 1, 1, 2, 1, 0, 0, 0, 0, 0, 162, 222, 0.72973
18, 45, 17, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 12, 25, 34, 21, 9, 4, 2, 2, 4, 1, 1, 0, 0, 0, 0, 0, 0, 125, 181, 0.690608
18, 45, 17, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 32, 37, 28, 6, 3, 0, 0, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 126, 162, 0.777778
18, 45, 17, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 0, 18, 10, 1, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 58, 0.775862
18, 45, 17, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1
18, 45, 18, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 1, 9, 13, 6, 2, 0, 1, 0, 0, 36, 50, 0.72
18, 45, 18, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 15, 21, 17, 6, 0, 5, 0, 0, 0, 69, 94, 0.734043
18, 45, 18, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 0, 2, 1, 0, 18, 33, 21, 11, 4, 2, 0, 0, 2, 0, 100, 140, 0.714286
18, 45, 18, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 0, 2, 6, 15, 32, 29, 15, 6, 3, 3, 0, 3, 0, 0, 122, 174, 0.701149
18, 45, 18, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14, 0, 2, 12, 30, 47, 57, 14, 10, 1, 3, 1, 2, 0, 1, 0, 199, 261, 0.762452
18, 45, 18, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 26, 10, 9, 36, 76, 83, 36, 10, 3, 2, 2, 0, 0, 2, 0, 0, 303, 383, 0.791123
18, 45, 18, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 30, 50, 102, 89, 52, 7, 0, 2, 4, 0, 2, 1, 0, 0, 0, 354, 461, 0.767896
18, 45, 18, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 17, 72, 128, 109, 50, 13, 1, 6, 2, 4, 0, 0, 0, 1, 0, 0, 407, 608, 0.669408
18, 45, 18, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 85, 321, 355, 295, 69, 10, 7, 8, 10, 7, 5, 4, 6, 1, 0, 0, 0, 1192, 4273, 0.278961
18, 45, 18, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 52, 9949, 57038, 45584, 8069, 447, 297, 300, 272, 210, 109, 59, 18, 5, 0, 0, 0, 0, 122410, 140939, 0.868532
18, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 5, 22, 2235, 7998, 4543, 704, 140, 141, 126, 134, 80, 92, 45, 41, 36, 19, 8, 8, 0, 16381,0 ,0
18, 46, 16, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 8, 0.5
18, 46, 16, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 11, 13, 0.846154
18, 46, 16, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 0.8
18, 46, 16, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 1
18, 46, 16, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 0.714286
18, 46, 16, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1
18, 46, 16, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1
18, 46, 16, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -nan
18, 46, 16, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -nan
